Pct-Contest-Candidate totals for horry
    989 0108 Amendment_3 Yes 
    320 0108 Amendment_4 No 
    989 0108 Amendment_4 Yes 
    884 0108 Attorney_General Alan_Wilson 
     27 0108 Attorney_General Leslie_Minerd 
    476 0108 Attorney_General Matthew_Richardson 
    986 0108 Board_of_Education_Chairman Will_Garland 
      1 0108 Board_of_Education_Chairman W/I_CARL_BOHLER 
    356 0108 Board_of_Education_Chairman Subhash_C_Saxena 
   1085 0108 CCL0005_County_Council_District_5 Paul_Price 
      1 0108 CCL0005_County_Council_District_5 W/I_ERIC_HASARA 
      1 0108 CCL0005_County_Council_District_5 W/I_HOWARD_BARNARD 
     22 0108 CONG01_U.S._House_of_Representatives_Dis Rob_Groce 
    962 0108 CONG01_U.S._House_of_Representatives_Dis Tim_Scott 
     20 0108 CONG01_U.S._House_of_Representatives_Dis Jimmy_Wood 
    324 0108 CONG01_U.S._House_of_Representatives_Dis Ben_Frasier 
      1 0108 CONG01_U.S._House_of_Representatives_Dis W/I_CLYBURN 
