Pct Ivo Count for horry
 PCT   IVO    PCTTOT     155     152 : RUNNINGTOTAL
0196 5123343      62      62      62 :     299
0196 5137845      78      78      78 :     377
0196 5188049     109     109     109 :     486
PCT TOTAL               SEA_OATS_#2 0196     486:     486
0197 5117980     126     126     126 :     126
0197 5119581     123     123     123 :     249
0197 5119972      91      91      91 :     340
0197 5122714      82      82      82 :     422
0197 5122999     105     105     105 :     527
0197 5127240      80      80      80 :     607
0197 5128695     106     106     106 :     713
0197 5128959     124     124     124 :     837
0197 5138373     106     106     106 :     943
0197 5183735      98      98      98 :    1041
PCT TOTAL                 SEA_WINDS 0197    1041:    1041
0198 5134647     125     125     125 :     125
0198 5135499     108     108     108 :     233
PCT TOTAL                     SHELL 0198     233:     341 (      108) ZORK
0199 5118415     131     131     131 :     131
0199 5121235     104     104     104 :     235
0199 5123433     144     144     144 :     379
0199 5125027     139     139     139 :     518
0199 5127574      11      11      11 :     529
0199 5133068     125     125     125 :     654
0199 5134607     142     142     142 :     796
PCT TOTAL               SOCASTEE_#1 0199     796:    1025 (      229) ZORK
0200 5118590     102     102     102 :     102
0200 5122471      92      92      92 :     194
0200 5124763     101     101     101 :     295
0200 5125251      93      93      93 :     388
0200 5187667      90      90      90 :     478
PCT TOTAL               SOCASTEE_#2 0200     478:     478
0201 5107382     138     138     138 :     138
0201 5124876     137     137     137 :     275
0201 5125276     152     152     152 :     427
0201 5127092     149     149     149 :     576
0201 5129236     140     140     140 :     716
PCT TOTAL               SOCASTEE_#3 0201     716:     855 (      139) ZORK
0202 5119235     105     105     105 :     105
0202 5120566     107     107     107 :     212
0202 5120771     130     130     130 :     342
0202 5121108     116     116     116 :     458
0202 5121592     112     112     112 :     570
0202 5123982     109     109     109 :     679
0202 5125704     125     125     125 :     804
0202 5128160     103     103     103 :     907
0202 5129916     122     122     122 :    1029
PCT TOTAL               SOCASTEE_#4 0202    1029:    1029
0203 5123333      44      44      44 :      44
0203 5138756      65      65      65 :     109
PCT TOTAL             SPRING_BRANCH 0203     109:     109
0204 5113802      82      82      82 :      82
0204 5121995     121     121     121 :     203
0204 5125500      78      78      78 :     281
0204 5127292     126     126     126 :     407
0204 5127943      87      87      87 :     494
0204 5128519      80      80      80 :     574
0204 5132106     103     103     103 :     677
0204 5138298     121     121     121 :     798
PCT TOTAL               SURFSIDE_#1 0204     798:     798
0205 5118048     174     174     174 :     174
0205 5121390      68      68      68 :     242
0205 5134697     191     191     191 :     433
PCT TOTAL               SURFSIDE_#2 0205     433:     433
0206 5101542     109     109     109 :     109
0206 5119018     122     122     122 :     231
0206 5124882     113     113     113 :     344
0206 5125561     130     130     130 :     474
0206 5133199      94      94      94 :     568
0206 5133454     131     131     131 :     699
PCT TOTAL               SURFSIDE_#3 0206     699:     699
0207 5122717      92      92      92 :      92
0207 5123224     124     124     124 :     216
0207 5123839      72      72      72 :     288
0207 5130873     122     122     122 :     410
0207 5132989     125     125     125 :     535
0207 5138856     115     115     115 :     650
0207 5184473      77      77      77 :     727
PCT TOTAL               SURFSIDE_#4 0207     727:     829 (      102) ZORK
0208 5119904      38      38      38 :      38
0208 5121208      97      97      97 :     135
0208 5121605      81      81      81 :     216
0208 5124119      68      68      68 :     284
PCT TOTAL                SWEET_HOME 0208     284:     284
0209 5133028      76      76      76 :      76
0209 5136520      76      76      76 :     152
PCT TOTAL              TAYLORSVILLE 0209     152:     152
0210 5118388     143     143     143 :     143
0210 5124396     132     132     132 :     275
0210 5124663     129     129     129 :     404
PCT TOTAL               TILLY_SWAMP 0210     404:     404
0211 5123330     147     147     147 :     147
0211 5127449     154     154     154 :     301
0211 5134760     144     144     144 :     445
PCT TOTAL                 TODDVILLE 0211     445:     445
0212 5123372     174     174     174 :     174
0212 5126086     156     156     156 :     330
0212 5137376     151     151     151 :     481
PCT TOTAL                    WAMPEE 0212     481:     635 (      154) ZORK
0213 5125548      63      63      63 :      63
0213 5134247      91      91      91 :     154
0213 5187879      82      82      82 :     236
PCT TOTAL               WEST_CONWAY 0213     236:     236
0214 5118842     146     146     146 :     146
0214 5143979     176     176     176 :     322
PCT TOTAL                WEST_LORIS 0214     322:     329 (        7) ZORK
0215 5121479     128     128     128 :     128
0215 5133613     107     107     107 :     235
PCT TOTAL                 WHITE_OAK 0215     235:     235
0216 5118614     133     133     133 :     133
0216 5124986     120     120     120 :     253
0216 5128701      85      85      85 :     338
0216 5134524      90      90      90 :     428
0216 5138095      99      99      99 :     527
0216 5180425     111     111     111 :     638
PCT TOTAL                 WILD_WING 0216     638:     757 (      119) ZORK
0217 5121362     127     127     127 :     127
0217 5125063     121     121     121 :     248
PCT TOTAL             WINDY_HILL_#1 0217     248:     377 (      129) ZORK
0218 5127266      77      77      77 :      77
0218 5127356     134     134     134 :     211
0218 5132491     186     186     186 :     397
PCT TOTAL             WINDY_HILL_#2 0218     397:     564 (      167) ZORK
0219 5110987     134     134     134 :     134
0219 5113577     123     123     123 :     257
0219 5118974      90      90      90 :     347
0219 5123984     130     130     130 :     477
0219 5124298     132     132     132 :     609
0219 5127415     121     121     121 :     730
0219 5128585     137     137     137 :     867
PCT TOTAL                BURGESS_#3 0219     867:     867
0220 5114990     157     157     157 :     157
0220 5118592     167     167     167 :     324
0220 5122924      14      14      14 :     338
0220 5125343     173     173     173 :     511
0220 5128343     173     173     173 :     684
PCT TOTAL                MARLOWE_#2 0220     684:     684
0750 5106798     226     226     226 :     226
0750 5114443     327     354     354 :     553
0750 5121289      53      53      53 :     606
0750 5127740     157     157     157 :     763
0750 5131561     354     356     356 :    1117
0750 5131593     108     108     108 :    1225
0750 5132564      64      64      64 :    1289
0750 5137801      35      35      35 :    1324
0750 5138783     451     452     452 :    1775
0750 5182366      27      27      27 :    1802
0750 5187136     290     296     296 :    2092
PCT TOTAL                  ABSENTEE 0750    2092:    5652 (     3560) ZORK
0850 5114443      27     354     354 :      27
0850 5131561       2     356     356 :      29
0850 5138783       1     452     452 :      30
0850 5187136       6     296     296 :      36
PCT TOTAL                  FAILSAFE 0850      36:      36

COUNTY TOTAL   59079

Pcts By Ivo
  IVO    PCT   COUNT
5101306 0101       1
5101306 0103       1
5101306 0110       1
5101542 0206     109
5102666 0180     144
5103022 0108     119
5103948 0157     112
5104064 0151     140
5104848 0130      84
5104997 0184     138
5104999 0196     119
5105235 0142     121
5105360 0127     116
5105613 0108     119
5106246 0133     135
5106491 0196     118
5106608 0162      53
5106798 0750     226
5106915 0173      89
5107382 0201     138
5108328 0188     132
5109127 0142      60
5109542 0157     104
5110987 0219     134
5111150 0181     131
5111151 0189     114
5111168 0190     167
5111659 0125     122
5112265 0138     160
5113532 0135     138
5113577 0219     123
5113678 0158     149
5113802 0204      82
5114217 0157      84
5114443 0750     327
5114443 0850      27
5114570 0175     136
5114990 0220     157
5115369 0125     127
5116710 0120     123
5116979 0110     110
5117980 0197     126
5118035 0130      82
5118048 0205     174
5118101 0159     112
5118200 0123      76
5118205 0114     128
5118240 0194     138
5118322 0158     144
5118388 0210     143
5118414 0174     121
